bit,LL_ptr
22664,111191
37556,155866
40781,165541
2891,37573
4097,53251
6155,61664
17953,97058
19541,101821
25412,119434
29139,130615
41141,166622
1663,21607
3164,41125
7267,65001
11871,78811
19901,102901
38437,158509
41501,167701
42487,170660
939,12199
3330,43283
16754,93460
20261,103982
21255,106964
36031,151293
39283,161048
41861,168782
1284,16683
3630,47184
15758,90472
17655,96164
20621,105062
22918,111952
30174,133721
42221,169861
1491,19376
2099,27276
3010,39121
18757,99470
20981,106141
24425,116474
32100,139500
42581,170941
525,6817
1109,14406
1531,19896
3096,40242
21341,107222
36535,152803
39678,162233
42941,172021
98,1266
102,1317
4186,54411
4552,56854
14218,85852
21702,108306
28670,129209
28737,129409
462,5997
1353,17581
2671,34714
4546,56837
6357,62269
22062,109384
40001,163203
40480,164638
822,10677
3191,41473
3990,51863
14184,85751
17031,94291
22422,110464
30630,135089
42470,170609
514,6675
1182,15358
1439,18697
2393,31099
5843,60728
22782,111545
38355,158264
41202,166805
365,4735
981,12745
1542,20038
10923,75967
20951,106052
23142,112625
26116,121546
28148,127643
1902,24717
1950,25341
2530,32880
3544,46065
20818,105652
22371,110312
23502,113704
24029,115286
325,4215
2254,29292
2262,29395
3129,40670
12606,81017
23862,114784
24922,117965
30180,133738
56,721
598,7765
2622,34078
2638,34285
5235,58904
24222,115864
32019,139255
35816,150646
2982,38756
3696,48040
4212,54747
4733,57398
11379,77335
24582,116944
38538,158813
39793,162577
1574,20454
2056,26718
2806,36469
3342,43438
15478,89632
24942,118025
33916,144947
37235,154903
2415,31385
2847,37001
3702,48117
13714,84341
15265,88993
25302,119104
30929,135986
34177,145730
1063,13810
2169,28189
2919,37937
4062,52797
12018,79252
25662,120185
29880,132839
35019,148257
1376,17880
3365,43736
4422,56464
16106,91516
20222,103865
22838,111713
26022,121265
37401,155401
151,1953
715,9286
3995,51927
4782,57544
14525,86773
23693,114277
26382,122344
27458,125573
969,12589
1604,20843
5142,58625
8532,68794
9909,72926
26742,123425
27801,126603
29532,131795
748,9714
3687,47923
5502,59705
9169,70706
20334,104200
25866,120796
27102,124504
38689,159265
1300,16890
3836,49858
5862,60784
6943,64027
12334,80201
27462,125584
31162,136684
36738,153413
883,11470
1869,24288
2430,31581
6222,61864
12272,80016
27822,126665
28296,128086
38902,159905
2009,26108
3427,44539
6582,62944
10791,75571
13685,84255
24071,115411
28182,127744
31797,138589
286,3710
3369,43787
6942,64025
17186,94756
18047,97340
24133,115598
28542,128824
30251,133952
377,4890
1874,24352
6072,61414
7302,65105
15973,91117
22266,109997
28902,129904
32459,140576
2675,34765
2780,36132
7662,66184
10426,74476
13247,82940
29262,130985
29457,131569
31523,137768
1406,18269
3181,41344
8022,67265
17581,95941
19816,102647
25284,119051
26969,124105
29622,132064
195,2526
1800,23393
4252,55266
8382,68344
19083,100449
29982,133144
41414,167442
41451,167552
722,9377
3088,40138
4064,52822
8742,69424
16335,92203
24792,117574
30342,134224
32189,139765
328,4253
592,7688
3377,43890
9102,70506
13584,83950
30702,135304
35431,149492
37990,157169
94,1215
1454,18895
9462,71584
19707,102320
19780,102538
27861,126781
29319,131155
31062,136385
536,6959
1624,21102
9822,72665
11046,76336
21231,106892
25922,120965
31422,137465
34870,147808
872,11327
3626,47133
3644,47365
8215,67843
10182,73744
31782,138545
38050,157348
40993,166177
3549,46130
4285,55695
10419,74456
10542,74825
19809,102627
26496,122686
32142,139625
32924,141970
1981,25745
3591,46673
6546,62838
10902,75905
12941,82022
30970,136109
32502,140704
35105,148513
1465,19038
2332,30309
2744,35663
4052,52668
11262,76984
32862,141785
36046,151337
42143,169628
609,7907
1860,24172
2846,36989
4188,54436
11622,78065
26635,123103
28895,129884
33222,142864
684,8884
3580,46530
3878,50404
9364,71291
11982,79145
33582,143945
37701,156301
40946,166037
1252,16267
2787,36222
12342,80224
19051,100352
20641,105121
23684,114251
25030,118288
33942,145024
724,9402
4216,54798
8374,68321
9681,72242
12702,81304
24784,117551
34302,146105
39026,160276
1090,14160
2061,26782
7099,64495
13062,82384
18390,98369
25676,120226
33114,142540
34662,147184
842,10937
1213,15762
3573,46440
7331,65191
13422,83465
35022,148265
35483,149647
35754,150461
1659,21556
3563,46311
7890,66869
11684,78250
13782,84544
33221,142862
35382,149346
37029,154286
308,3994
4090,53161
10637,75109
13443,83527
14142,85626
33600,143998
35742,150426
40012,163235
657,8534
2553,33179
8117,67550
14502,86705
19110,100529
34396,146387
36102,151504
42810,171629
1038,13486
2720,35352
8961,70082
14862,87786
16604,93011
23350,113248
31605,138013
36462,152586
1998,25965
3726,48427
5678,60232
15222,88865
17525,95774
23242,112924
27217,124850
36822,153664
2238,29085
3290,42763
10009,73225
12231,79891
15582,89945
34851,147752
37182,154745
39428,161482
719,9337
1558,20246
9183,70747
15942,91025
21360,107278
32713,141337
33521,143763
37542,155825
2387,31022
3881,50442
13274,83020
14900,87898
16302,92105
27412,125436
30502,134704
37902,156905
249,3230
3022,39276
5521,59761
14897,87890
16662,93185
21759,108476
22285,110053
38262,157985
2198,28565
2369,30789
4982,58144
17022,94265
18278,98032
21776,108526
38622,159065
41279,167035
114,1472
1516,19701
6557,62870
16539,92815
17382,95344
33397,143389
38982,160145
41945,169033
1247,16202
1851,24056
3951,51355
7593,65978
17742,96424
27228,124882
39342,161225
42883,171848
1000,12992
3176,41279
8962,70084
11221,76862
18102,97504
39702,162305
40466,164597
43059,172375
288,3735
1822,23679
2161,28086
3710,48220
18462,98585
26793,123577
40062,163384
41854,168762
1234,16034
3174,41254
14657,87169
18508,98722
18822,99664
34468,146602
36488,152663
40422,164466
2499,32479
3789,49248
5258,58972
15623,90067
19182,100744
22665,111194
37557,155869
40782,165544
2892,37586
4098,53264
6156,61667
17954,97061
19542,101824
25413,119437
29140,130618
41142,166625
1664,21620
3165,41138
7268,65004
11872,78814
19902,102904
38438,158512
41502,167704
42488,170663
940,12212
3331,43296
16755,93463
20262,103985
21256,106967
36032,151296
39284,161051
41862,168785
1285,16696
3631,47197
15759,90475
17656,96167
20622,105065
22919,111955
30175,133724
42222,169864
1492,19389
2100,27289
3011,39134
18758,99473
20982,106144
24426,116477
32101,139503
42582,170944
526,6830
1110,14419
1532,19909
3097,40255
21342,107225
36536,152806
39679,162236
42942,172024
99,1279
103,1330
4187,54424
4553,56857
14219,85855
21703,108309
28671,129212
28738,129412
463,6010
1354,17594
2672,34727
4547,56840
6358,62272
22063,109387
40002,163206
40481,164641
823,10690
3192,41486
3991,51876
14185,85754
17032,94294
22423,110467
30631,135092
42471,170612
515,6688
1183,15371
1440,18710
2394,31112
5844,60731
22783,111548
38356,158267
41203,166808
366,4748
982,12758
1543,20051
10924,75970
20952,106055
23143,112628
26117,121549
28149,127646
1903,24730
1951,25354
2531,32893
3545,46078
20819,105655
22372,110315
23503,113707
24030,115289
326,4228
2255,29305
2263,29408
3130,40683
12607,81020
23863,114787
24923,117968
30181,133741
57,734
599,7778
2623,34091
2639,34298
5236,58907
24223,115867
32020,139258
35817,150649
2983,38769
3697,48053
4213,54760
4734,57401
11380,77338
24583,116947
38539,158816
39794,162580
1575,20467
2057,26731
2807,36482
3343,43451
15479,89635
24943,118028
33917,144950
37236,154906
2416,31398
2848,37014
3703,48130
13715,84344
15266,88996
25303,119107
30930,135989
34178,145733
1064,13823
2170,28202
2920,37950
4063,52810
12019,79255
25663,120188
29521,131763
35020,148260
1377,17893
3366,43749
4423,56467
16107,91519
20223,103868
22839,111716
26023,121268
37402,155404
152,1966
716,9299
3996,51940
4783,57547
14526,86776
23694,114280
26383,122347
27459,125576
970,12602
1605,20856
5143,58628
8533,68797
9910,72929
26743,123428
27802,126606
29533,131798
749,9727
3688,47937
5503,59708
9170,70709
20335,104203
25867,120799
27103,124507
38690,159268
1301,16903
3837,49871
5863,60787
6944,64030
12335,80204
27463,125587
31163,136687
36739,153416
884,11483
1870,24301
2431,31594
6223,61867
12273,80019
27823,126668
28297,128089
38903,159908
2010,26121
3428,44552
6583,62947
10792,75574
13686,84258
24072,115414
28183,127747
31798,138592
287,3723
3370,43800
6943,64028
17187,94759
18048,97343
24134,115601
28543,128827
30252,133955
378,4903
1875,24365
6073,61417
7303,65108
15974,91120
22267,110000
28903,129907
32460,140579
2676,34778
2781,36145
7663,66187
10427,74479
13248,82943
29263,130988
29458,131572
31524,137771
1407,18282
3182,41357
8023,67268
17582,95944
19817,102650
25285,119054
26970,124108
29623,132067
196,2539
1441,18727
4253,55279
8383,68347
19084,100452
29983,133147
41415,167445
41452,167555
723,9390
3089,40151
4065,52835
8743,69427
16336,92206
24793,117577
30343,134227
32190,139768
329,4266
593,7701
3378,43903
9103,70509
13585,83953
30703,135307
35432,149495
37991,157172
95,1228
1455,18908
9463,71587
19708,102323
19781,102541
27862,126784
29320,131158
31063,136388
537,6972
1625,21115
9823,72668
11047,76339
21232,106895
25923,120968
31423,137468
34871,147811
873,11340
3627,47146
3645,47378
8216,67846
10183,73747
31783,138548
38051,157351
40994,166180
3550,46143
4286,55708
10420,74459
10543,74828
19810,102630
26497,122689
32143,139628
32925,141973
1982,25758
3592,46686
6547,62841
10903,75908
12942,82025
30971,136112
32503,140707
35106,148516
1466,19051
2333,30322
2745,35677
4053,52681
11263,76987
32863,141788
36047,151340
42144,169631
610,7920
1861,24185
2847,37002
4189,54449
11623,78068
26636,123106
28896,129887
33223,142867
685,8897
3581,46543
3879,50417
9365,71294
11983,79148
33583,143948
37702,156304
40947,166040
1253,16280
2788,36235
12343,80227
19052,100355
20642,105124
23685,114254
25031,118291
33943,145027
725,9415
4217,54811
8375,68324
9682,72245
12703,81307
24785,117554
34303,146108
39027,160279
1091,14173
2062,26795
7100,64498
13063,82387
18391,98372
25677,120229
33115,142543
34663,147187
843,10950
1214,15775
3574,46453
7332,65194
13423,83468
35023,148268
35484,149650
35755,150464
1660,21569
3564,46324
7891,66872
11685,78253
13783,84547
33222,142865
35383,149349
37030,154289
309,4007
4091,53174
10638,75112
13444,83530
14143,85629
33601,144001
35743,150429
40013,163238
658,8547
2554,33192
8118,67553
14503,86708
19111,100532
34397,146390
36103,151507
42811,171632
1039,13499
2721,35365
8962,70085
14863,87789
16605,93014
23351,113251
31606,138016
36463,152589
1999,25979
3727,48440
5679,60235
15223,88868
17526,95777
23243,112927
27218,124853
36823,153667
2239,29098
3291,42776
10010,73228
12232,79894
15583,89948
34852,147755
37183,154748
39429,161485
720,9350
1559,20259
9184,70750
15943,91028
21361,107281
32714,141340
33522,143766
37543,155828
2388,31035
3882,50455
13275,83023
14901,87901
16303,92108
27413,125439
30503,134707
37903,156908
250,3243
3023,39289
5522,59764
14898,87893
16663,93188
21760,108479
22286,110056
38263,157988
2199,28578
2370,30802
4983,58147
17023,94268
18279,98035
21777,108529
38623,159068
41280,167038
115,1485
1517,19714
6558,62873
16540,92818
17383,95347
33398,143392
38983,160148
41946,169036
1248,16215
1852,24069
3952,51368
7594,65981
17743,96427
27229,124885
39343,161228
42884,171851
1001,13005
3177,41292
8963,70087
11222,76865
18103,97507
39703,162308
40467,164600
43060,172378
289,3748
1823,23692
2162,28099
3711,48233
18463,98588
26794,123580
40063,163387
41855,168765
1235,16047
3175,41267
14658,87172
18509,98725
18823,99667
34469,146605
36489,152666
40423,164469
2500,32492
3790,49261
5259,58975
15624,90070
19183,100747
22666,111197
37558,155872
40783,165547
2893,37599
4099,53277
6157,61670
17955,97064
19543,101827
25414,119440
29141,130621
41143,166628
1665,21633
3166,41151
7269,65007
11873,78817
19903,102907
38439,158515
41503,167707
42489,170666
941,12225
3332,43309
16756,93466
20263,103988
21257,106970
36033,151299
39285,161054
41863,168788
1286,16709
3632,47210
15760,90478
17657,96170
20623,105068
22920,111958
30176,133727
42223,169867
1493,19402
2101,27302
3012,39147
18759,99476
20983,106147
24427,116480
32102,139506
42583,170947
527,6843
1111,14432
1533,19922
3098,40268
21343,107228
36537,152809
39680,162239
42943,172027
100,1292
104,1343
4188,54437
4554,56860
14220,85858
21704,108312
28672,129215
28739,129415
464,6023
1355,17607
2673,34740
4548,56843
6359,62275
22064,109390
40003,163209
40482,164644
824,10703
3193,41499
3992,51889
14186,85757
17033,94297
22424,110470
30632,135095
42472,170615
516,6701
1081,14044
1184,15385
2395,31125
5845,60734
22784,111551
38357,158270
41204,166811
367,4761
983,12772
1544,20064
10925,75973
20953,106058
23144,112631
26118,121552
28150,127649
1904,24743
1952,25367
2532,32906
3546,46091
20820,105658
22373,110318
23504,113710
24031,115292
327,4241
2256,29318
2264,29421
3131,40696
12608,81023
23864,114790
24924,117971
30182,133744
58,747
600,7791
2624,34104
2640,34311
5237,58910
24224,115870
32021,139261
35818,150652
2984,38782
3698,48066
4214,54773
4735,57404
11381,77341
24584,116950
38540,158819
39795,162583
1576,20480
2058,26744
2808,36495
3344,43464
15480,89638
24944,118031
33918,144953
37237,154909
2417,31411
2849,37027
3704,48143
13716,84347
15267,88999
25304,119110
30931,135992
34179,145736
1065,13836
2171,28215
2921,37964
4064,52823
12020,79258
25664,120191
29522,131766
35021,148263
1378,17906
3367,43762
4424,56470
16108,91522
20224,103871
22840,111719
26024,121271
37403,155407
153,1979
717,9312
3997,51954
4784,57550
14527,86779
23695,114283
26384,122350
27460,125579
971,12615
1606,20869
5144,58631
8534,68800
9911,72932
26744,123431
27803,126609
29534,131801
750,9740
3689,47950
5504,59711
9171,70712
20336,104206
25868,120802
27104,124510
38691,159271
1302,16916
3838,49884
5864,60790
6945,64033
12336,80207
27464,125590
31164,136690
36740,153419
885,11496
1871,24314
2432,31607
6224,61870
12274,80022
27824,126671
28298,128092
38904,159911
2011,26134
3429,44565
6584,62950
10793,75577
13687,84261
24073,115417
28184,127750
31799,138595
288,3736
3371,43813
6944,64031
17188,94762
18049,97346
24135,115604
28544,128830
30253,133958
379,4916
1876,24378
6074,61420
7304,65111
15975,91123
22268,110003
28904,129910
32461,140582
2677,34791
2782,36158
7664,66190
10428,74482
13249,82946
29264,130991
29459,131575
31525,137774
1408,18295
3183,41370
8024,67271
17583,95947
19818,102653
25286,119057
26971,124111
29624,132070
197,2552
1442,18740
4254,55293
8384,68350
19085,100455
29984,133150
41416,167448
41453,167558
724,9403
3090,40165
4066,52848
8744,69430
16337,92209
24794,117580
30344,134230
32191,139771
330,4279
594,7714
3379,43916
9104,70512
13586,83956
30704,135310
35433,149498
37992,157175
96,1241
1456,18921
9464,71590
19709,102326
19782,102544
27863,126787
29321,131161
31064,136391
538,6985
1626,21128
9824,72671
11048,76342
21233,106898
25924,120971
31424,137471
34872,147814
874,11353
3628,47159
3646,47391
8217,67849
10184,73750
31784,138551
38052,157354
40995,166183
3551,46156
4287,55721
10421,74462
10544,74831
19811,102633
26498,122692
32144,139631
32926,141976
1983,25771
3593,46699
6548,62844
10904,75911
12943,82028
30972,136115
32504,140710
35107,148519
1467,19064
2334,30335
2746,35691
4054,52694
11264,76990
32864,141791
36048,151343
42145,169634
611,7933
1862,24198
2848,37015
4190,54462
11624,78071
26637,123109
28897,129890
33224,142870
686,8910
3582,46556
3880,50430
9366,71297
11984,79151
33584,143951
37703,156307
40948,166043
1254,16293
2789,36249
12344,80230
19053,100358
20643,105127
23686,114257
25032,118294
33944,145030
726,9428
4218,54824
8376,68327
9683,72248
12704,81310
24786,117557
34304,146111
39028,160282
1092,14186
2063,26808
7101,64501
13064,82390
18392,98375
25678,120232
33116,142546
34664,147190
844,10963
1215,15788
3575,46466
7333,65197
13424,83471
35024,148271
35485,149653
35756,150467
1661,21582
3565,46337
7892,66875
11686,78256
13784,84550
33223,142868
35384,149352
37031,154292
310,4020
4092,53187
10639,75115
13445,83533
14144,85632
33602,144004
35744,150432
40014,163241
659,8560
2555,33205
8119,67556
14504,86711
19112,100535
34398,146393
36104,151510
42812,171635
1040,13512
2722,35378
8963,70088
14864,87792
16606,93017
23352,113254
31607,138019
36464,152592
2000,25992
3728,48453
5680,60238
15224,88871
17527,95780
23244,112930
27219,124856
36824,153670
2240,29111
3292,42789
10011,73231
12233,79897
15584,89951
34853,147758
37184,154751
39430,161488
361,4684
1560,20272
9185,70753
15944,91031
21362,107284
32715,141343
33523,143769
37544,155831
2389,31048
3883,50468
13276,83026
14902,87904
16304,92111
27414,125442
30504,134710
37904,156911
251,3256
3024,39302
5523,59767
14899,87896
16664,93191
21761,108482
22287,110059
38264,157991
2200,28591
2371,30815
4984,58150
17024,94271
18280,98038
21778,108532
38624,159071
41281,167041
116,1498
1518,19727
6559,62876
16541,92821
17384,95350
33399,143395
38984,160151
41947,169039
1249,16228
1853,24082
3953,51381
7595,65984
17744,96430
27230,124888
39344,161231
42885,171854
1002,13018
3178,41306
8964,70090
11223,76868
18104,97510
39704,162311
40468,164603
43061,172381
290,3761
1824,23705
2163,28112
3712,48246
18464,98591
26795,123583
40064,163390
41856,168768
1236,16060
3176,41280
14659,87175
18510,98728
18824,99670
34470,146608
36490,152669
40424,164472
2501,32505
3791,49274
5260,58978
15625,90073
19184,100750
22667,111200
37559,155875
40784,165550
2894,37612
4100,53290
6158,61673
17956,97067
19544,101830
25415,119443
29142,130624
41144,166631
1666,21646
3167,41164
7270,65010
11874,78820
19904,102910
38440,158518
41504,167710
42490,170669
942,12238
3333,43322
16757,93469
20264,103991
21258,106973
36034,151302
39286,161057
41864,168791
1287,16722
3633,47223
15761,90481
17658,96173
20624,105071
22921,111961
30177,133730
42224,169870
1494,19415
2102,27315
3013,39160
18760,99479
20984,106150
24428,116483
32103,139509
42584,170950
528,6856
1112,14446
1534,19935
3099,40281
21344,107231
36538,152812
39681,162242
42944,172030
101,1305
105,1356
4189,54450
4555,56863
14221,85861
21705,108315
28673,129218
28740,129418
465,6036
1356,17620
2674,34753
4549,56846
6360,62278
22065,109393
40004,163212
40483,164647
825,10716
3194,41512
3993,51902
14187,85760
17034,94300
22425,110473
30633,135098
42473,170618
517,6714
1082,14057
1185,15398
2396,31138
5846,60737
22785,111554
38358,158273
41205,166814
368,4774
984,12785
1545,20077
10926,75976
20954,106061
23145,112634
26119,121555
28151,127652
1905,24756
1953,25380
2533,32919
3547,46104
20821,105661
22374,110321
23505,113713
24032,115295
328,4254
2257,29331
2265,29434
3132,40709
12609,81026
23865,114793
24925,117974
30183,133747
59,760
601,7804
2625,34117
2641,34324
5238,58913
24225,115873
32022,139264
35819,150655
2985,38795
3699,48079
4215,54786
4736,57407
11382,77344
24585,116953
38541,158822
39796,162586
1577,20493
2059,26757
2809,36508
3345,43477
15121,88562
24945,118034
33919,144956
37238,154912
2418,31424
2850,37040
3705,48156
13717,84350
15268,89002
25305,119113
30932,135995
34180,145739
1066,13849
2172,28228
2922,37977
4065,52836
12021,79261
25665,120194
29523,131769
35022,148266
1379,17919
3368,43775
4425,56473
16109,91525
20225,103874
22841,111722
26025,121274
37404,155410
154,1992
718,9325
3998,51967
4785,57553
14528,86782
23696,114286
26385,122353
27461,125582
972,12628
1607,20882
5145,58634
8535,68803
9912,72935
26745,123434
27804,126612
29535,131804
751,9753
3690,47963
5505,59714
9172,70715
20337,104209
25869,120805
27105,124513
38692,159274
1303,16929
3839,49897
5865,60793
6946,64036
12337,80210
27465,125593
31165,136693
36741,153422
886,11509
1872,24327
2433,31620
6225,61873
12275,80025
27825,126674
28299,128095
38905,159914
2012,26147
3430,44578
6585,62953
10794,75580
13688,84264
24074,115420
28185,127753
31800,138598
289,3749
3372,43826
6945,64034
17189,94765
18050,97349
24136,115607
28545,128833
30254,133961
380,4929
1877,24391
6075,61423
7305,65114
15976,91126
22269,110006
28905,129913
32462,140585
2678,34804
2783,36171
7665,66193
10429,74485
13250,82949
29265,130994
29460,131578
31526,137777
1409,18308
3184,41383
8025,67274
17584,95950
19819,102656
25287,119060
26972,124114
29625,132073
198,2565
1443,18753
4255,55306
8385,68353
19086,100458
29985,133153
41417,167451
41454,167561
725,9416
3091,40178
4067,52861
8745,69433
16338,92212
24795,117583
30345,134233
32192,139774
331,4292
595,7727
3380,43929
9105,70515
13587,83959
30705,135313
35434,149501
37993,157178
97,1254
1457,18935
9465,71593
19710,102329
19783,102547
27864,126790
29322,131164
31065,136394
539,6998
1627,21141
9825,72674
11049,76345
21234,106901
25925,120974
31425,137474
34873,147817
875,11366
3629,47172
3647,47404
8218,67852
10185,73753
31785,138554
38053,157357
40996,166186
3552,46169
4288,55734
10422,74465
10545,74834
19812,102636
26499,122695
32145,139634
32927,141979
1984,25784
3594,46712
6549,62847
10905,75914
12944,82031
30973,136118
32505,140713
35108,148522
1468,19077
2335,30348
2747,35704
4055,52707
11265,76993
32865,141794
36049,151346
42146,169637
612,7946
1863,24211
2849,37028
4191,54475
11625,78074
26638,123112
28898,129893
33225,142873
687,8923
3583,46569
3881,50443
9367,71300
11985,79154
33585,143954
37704,156310
40949,166046
1255,16306
2790,36262
12345,80233
19054,100361
20644,105130
23687,114260
25033,118297
33945,145033
727,9441
4219,54837
8377,68330
9684,72251
12705,81313
24787,117560
34305,146114
39029,160285
1093,14199
2064,26821
7102,64504
13065,82393
18393,98378
25679,120235
33117,142549
34665,147193
845,10976
1216,15801
3576,46479
7334,65200
13425,83474
35025,148274
35486,149656
35757,150470
1662,21595
3566,46350
7893,66878
11687,78259
13785,84553
33224,142871
35385,149355
37032,154295
311,4033
4093,53200
10640,75118
13446,83536
14145,85635
33603,144007
35745,150435
40015,163244
660,8573
2556,33218
8120,67559
14505,86714
19113,100538
34399,146396
36105,151513
42813,171638
1041,13525
2723,35391
8964,70091
14865,87795
16607,93020
23353,113257
31608,138022
36465,152595
2001,26005
3729,48466
5681,60241
15225,88874
17528,95783
23245,112933
27220,124859
36825,153673
2241,29124
3293,42802
10012,73234
12234,79900
15585,89954
34854,147761
37185,154754
39431,161491
362,4697
1561,20285
9186,70756
15945,91034
21363,107287
32716,141346
33524,143772
37545,155834
2390,31061
3884,50481
13277,83029
14903,87907
16305,92114
27415,125445
30505,134713
37905,156914
252,3269
3025,39315
5524,59770
14900,87899
16665,93194
21762,108485
22288,110062
38265,157994
2201,28604
2372,30828
4985,58153
17025,94274
18281,98041
21779,108535
38625,159074
41282,167044
117,1511
1519,19740
6560,62879
16542,92824
17385,95353
33400,143398
38985,160154
41948,169042
1250,16241
1854,24095
3954,51394
7596,65987
17745,96433
27231,124891
39345,161234
42886,171857
1003,13031
3179,41319
8965,70093
11224,76871
18105,97513
39705,162314
40469,164606
43062,172384
291,3774
1825,23718
2164,28125
3713,48259
18465,98594
26796,123586
40065,163393
41857,168771
1237,16073
3177,41293
14660,87178
18511,98731
18825,99673
34471,146611
36491,152672
40425,164475
2502,32518
3792,49287
5261,58981
15626,90076
19185,100753
22668,111203
37560,155878
40785,165553
2895,37625
4101,53303
6159,61676
17957,97070
19545,101833
25416,119446
29143,130627
41145,166634
1667,21659
3168,41177
7271,65013
11875,78823
19905,102913
38441,158521
41505,167713
42491,170672
943,12251
3334,43335
16758,93472
20265,103994
21259,106977
36035,151305
39287,161060
41865,168794
1288,16735
3634,47236
15762,90484
17659,96176
20625,105074
22922,111964
30178,133733
42225,169873
1495,19428
2103,27328
3014,39173
18761,99482
20985,106153
24429,116486
32104,139512
42585,170953
529,6869
1113,14459
1535,19948
3100,40294
21345,107234
36539,152815
39682,162245
42945,172033
102,1318
106,1369
4190,54463
4556,56866
14222,85864
21706,108318
28674,129221
28741,129421
466,6049
1357,17633
2675,34766
4550,56849
6361,62281
22066,109396
40005,163215
40484,164650
826,10729
3195,41525
3994,51915
14188,85763
17035,94303
22426,110476
30634,135101
42474,170621
518,6727
1083,14070
1186,15411
2397,31151
5847,60740
22786,111557
38359,158276
41206,166817
369,4787
985,12798
1546,20090
10927,75979
20955,106064
23146,112637
26120,121558
28152,127655
1906,24769
1954,25393
2534,32932
3548,46117
20822,105664
22375,110324
23506,113716
24033,115298
329,4267
2258,29344
2266,29447
3133,40722
12610,81029
23866,114796
24926,117977
30184,133750
60,773
602,7817
2626,34130
2642,34337
5239,58916
24226,115876
32023,139267
35820,150658
2986,38808
3700,48092
4216,54799
4737,57410
11383,77347
24586,116956
38542,158825
39797,162589
1578,20506
2060,26770
2810,36521
3346,43490
15122,88565
24946,118037
33920,144959
37239,154915
2419,31437
2851,37053
3706,48169
13718,84353
15269,89005
25306,119116
30933,135998
34181,145742
1067,13862
2173,28241
2923,37990
4066,52849
12022,79264
25666,120197
29524,131772
35023,148269
1380,17932
3369,43788
4426,56476
16110,91528
20226,103877
22842,111725
26026,121277
37405,155413
155,2005
719,9338
3999,51980
4786,57556
14529,86785
23697,114289
26386,122356
27462,125585
973,12641
1608,20895
5146,58637
8536,68806
9913,72938
26746,123437
27805,126615
29536,131807
752,9766
3691,47976
5506,59717
9173,70718
20338,104212
25870,120808
27106,124516
38693,159277
1304,16942
3840,49910
5866,60796
6947,64039
12338,80213
27466,125596
31166,136696
36742,153425
887,11522
1873,24340
2434,31633
6226,61876
12276,80028
27826,126677
28300,128098
38906,159917
2013,26160
3431,44591
6586,62956
10795,75583
13689,84267
24075,115423
28186,127756
31801,138601
290,3762
3373,43839
6946,64037
17190,94768
18051,97352
24137,115610
28546,128836
30255,133964
381,4942
1878,24404
6076,61426
7306,65117
15977,91129
22270,110009
28906,129916
32463,140588
2679,34818
2784,36184
7666,66196
10430,74488
13251,82952
29266,130997
29461,131581
31527,137780
1410,18321
3185,41396
8026,67277
17585,95953
19820,102659
25288,119063
26973,124117
29626,132076
199,2578
1444,18766
4256,55319
8386,68356
19087,100461
29986,133156
41418,167454
41455,167564
726,9429
3092,40191
4068,52874
8746,69436
16339,92215
24796,117586
30346,134236
32193,139777
332,4305
596,7740
3381,43942
9106,70518
13588,83962
30706,135316
35435,149504
37994,157181
98,1267
1458,18948
9466,71596
19711,102332
19784,102550
27865,126793
29323,131167
31066,136397
540,7011
1628,21154
9826,72677
11050,76348
21235,106904
25926,120977
31426,137477
34874,147820
876,11379
3630,47185
3648,47417
8219,67855
10186,73756
31786,138557
38054,157360
40997,166189
3553,46182
4289,55747
10423,74468
10546,74837
19813,102639
26500,122698
32146,139637
32928,141982
1985,25797
3595,46725
6550,62850
10906,75917
12945,82034
30974,136121
32506,140716
35109,148525
1469,19090
2336,30361
2748,35717
4056,52720
11266,76996
32866,141797
36050,151349
42147,169640
613,7959
1864,24224
2850,37041
4192,54488
11626,78077
26639,123115
28899,129896
33226,142876
688,8936
3584,46582
3882,50456
9368,71303
11986,79157
33586,143957
37705,156313
40950,166049
1256,16319
2791,36275
12346,80236
19055,100364
20645,105133
23688,114263
25034,118300
33946,145036
728,9454
4220,54850
8378,68333
9685,72254
12706,81316
24788,117563
34306,146117
39030,160288
1094,14212
2065,26834
7103,64507
13066,82396
18394,98381
25680,120238
33118,142552
34666,147196
846,10989
1217,15814
3577,46492
7335,65203
13426,83477
35026,148277
35487,149659
35758,150473
1663,21608
3567,46363
7894,66881
11688,78262
13786,84556
33225,142874
35386,149358
37033,154298
312,4046
4094,53213
10641,75121
13447,83539
14146,85638
33604,144010
35746,150438
40016,163247
661,8586
2557,33231
8121,67562
14506,86717
19114,100541
34400,146399
36106,151516
42814,171641
1042,13538
2724,35404
8965,70094
14866,87798
16608,93023
23354,113260
31609,138025
36466,152598
2002,26018
3730,48479
5682,60244
15226,88877
17529,95786
23246,112936
27221,124862
36826,153676
2242,29137
3294,42815
10013,73237
12235,79903
15586,89957
34855,147764
37186,154757
39432,161494
363,4710
1562,20298
9187,70759
15946,91037
21364,107290
32717,141349
33525,143775
37546,155837
2391,31074
3885,50495
13278,83032
14904,87910
16306,92117
27416,125448
30506,134716
37906,156917
253,3282
3026,39328
5525,59773
14901,87902
16666,93197
21763,108488
22289,110065
38266,157997
2202,28617
2373,30841
4986,58156
17026,94277
18282,98044
21780,108538
38626,159077
41283,167047
118,1524
1520,19753
6561,62882
16543,92827
17386,95356
33401,143401
38986,160157
