bit,LL_ptr
5135,58603
24122,115564
31919,138955
35716,150346
2882,37454
3956,51416
4112,53444
4993,58177
11279,77035
24482,116644
38798,159592
39693,162277
1474,19150
1956,25416
2706,35166
3242,42134
15378,89332
24842,117724
34176,145726
37135,154603
2315,30083
2747,35699
3602,46814
13974,85120
15165,88693
25202,118804
30829,135685
34077,145429
963,12507
2429,31565
3179,41315
3962,51494
11918,78952
25562,119884
29780,132538
35279,149035
1276,16576
3265,42433
4322,56164
16006,91216
20482,104644
22738,111412
25922,120964
37301,155101
51,651
615,7983
4255,55303
4682,57244
14425,86473
23593,113977
26282,122044
27718,126352
869,11285
1504,19540
5042,58324
8432,68494
9809,72625
26642,123124
28061,127381
29792,132574
1008,13092
3947,51299
5402,59404
9069,70405
20234,103900
25766,120496
27002,124204
38589,158965
1200,15588
3736,48556
5762,60484
6843,63727
12594,80980
27362,125284
31062,136384
36998,154192
783,10167
2129,27665
2330,30278
6122,61564
12532,80794
27722,126364
28196,127786
39162,160684
1909,24805
3327,43239
6482,62644
10691,75271
13945,85033
23971,115111
28082,127444
31697,138289
186,2406
3269,42485
6842,63725
17086,94456
18307,98119
24393,116377
28442,128524
30511,134731
637,8269
2134,27730
5972,61114
7202,64804
15873,90817
22166,109696
28802,129604
32719,141355
2575,33463
2680,34828
7562,65884
10326,74176
13147,82639
29162,130684
29357,131269
31423,137467
1306,16966
3081,40041
7922,66964
17481,95641
20076,103426
25544,119830
26869,123805
29522,131764
95,1223
1700,22088
4152,53964
8282,68044
19343,101227
29882,132844
41674,168220
41711,168331
982,12754
2988,38832
3964,51520
8642,69124
16235,91903
24692,117274
30242,133924
32089,139465
228,2952
492,6384
3277,42589
9002,70204
13484,83650
30602,135004
35331,149191
37890,156868
354,4590
1714,22270
9362,71284
19607,102019
19680,102238
27761,126481
29219,130855
30962,136084
436,5656
1524,19800
9722,72364
10946,76036
21131,106591
26182,121744
31322,137164
34770,147508
772,10024
3886,50506
3904,50740
8115,67543
10082,73444
31682,138244
37950,157048
40893,165877
3449,44825
4185,54393
10319,74155
